date,Date,Count
Howard County,12-01-2022,2067
Howard County,01-01-2023,2083
Howard County,02-01-2023,2107
Howard County,03-01-2023,2134
Howard County,04-01-2023,2162
Montgomery County,07-01-2020,3583
Montgomery County,08-01-2020,3608
Montgomery County,09-01-2020,3664
Montgomery County,10-01-2020,3702
Montgomery County,11-01-2020,3768
Montgomery County,12-01-2020,3813
Montgomery County,01-01-2021,3861
Montgomery County,02-01-2021,3880
Montgomery County,03-01-2021,3949
Montgomery County,04-01-2021,4026
Montgomery County,05-01-2021,4153
Montgomery County,06-01-2021,4324
Montgomery County,07-01-2021,4460
Montgomery County,08-01-2021,4623
Montgomery County,09-01-2021,4763
Montgomery County,10-01-2021,4892
Montgomery County,11-01-2021,4984
Montgomery County,12-01-2021,5077
Montgomery County,01-01-2022,5163
Montgomery County,02-01-2022,5233
Montgomery County,03-01-2022,5338
Montgomery County,04-01-2022,5442
Montgomery County,05-01-2022,5553
Montgomery County,06-01-2022,5753
Montgomery County,07-01-2022,5835
Montgomery County,08-01-2022,5946
Montgomery County,09-01-2022,6033
Montgomery County,10-01-2022,6142
Montgomery County,11-01-2022,6305
Montgomery County,12-01-2022,6445
Montgomery County,01-01-2023,6544
Montgomery County,02-01-2023,6637
Montgomery County,03-01-2023,6763
Montgomery County,04-01-2023,6876
Prince Georges County,07-01-2020,938
Prince Georges County,08-01-2020,951
Prince Georges County,09-01-2020,955
Prince Georges County,10-01-2020,981
Prince Georges County,11-01-2020,1006
Prince Georges County,12-01-2020,1031
Prince Georges County,01-01-2021,1039
Prince Georges County,02-01-2021,1057
Prince Georges County,03-01-2021,1074
Prince Georges County,04-01-2021,1114
Prince Georges County,05-01-2021,1145
Prince Georges County,06-01-2021,1200
Prince Georges County,07-01-2021,1249
Prince Georges County,08-01-2021,1289
Prince Georges County,09-01-2021,1327
Prince Georges County,10-01-2021,1371
Prince Georges County,11-01-2021,1395
Prince Georges County,12-01-2021,1411
Prince Georges County,01-01-2022,1430
Prince Georges County,02-01-2022,1467
Prince Georges County,03-01-2022,1491
Prince Georges County,04-01-2022,1528
Prince Georges County,05-01-2022,1552
Prince Georges County,06-01-2022,1596
Prince Georges County,07-01-2022,1609
Prince Georges County,08-01-2022,1631
Prince Georges County,09-01-2022,1655
Prince Georges County,10-01-2022,1677
Prince Georges County,11-01-2022,1728
Prince Georges County,12-01-2022,1762
Prince Georges County,01-01-2023,1791
Prince Georges County,02-01-2023,1842
Prince Georges County,03-01-2023,1886
Prince Georges County,04-01-2023,1924
Queen Annes County,07-01-2020,82
Queen Annes County,08-01-2020,85
Queen Annes County,09-01-2020,87
Queen Annes County,10-01-2020,91
Queen Annes County,11-01-2020,91
Queen Annes County,12-01-2020,90
Queen Annes County,01-01-2021,89
Queen Annes County,02-01-2021,90
Queen Annes County,03-01-2021,92
Queen Annes County,04-01-2021,97
Queen Annes County,05-01-2021,102
Queen Annes County,06-01-2021,105
Queen Annes County,07-01-2021,112
Queen Annes County,08-01-2021,118
Queen Annes County,09-01-2021,121
Queen Annes County,10-01-2021,124
Queen Annes County,11-01-2021,126
Queen Annes County,12-01-2021,126
Queen Annes County,01-01-2022,123
Queen Annes County,02-01-2022,126
Queen Annes County,03-01-2022,136
Queen Annes County,04-01-2022,141
Queen Annes County,05-01-2022,147
Queen Annes County,06-01-2022,146
Queen Annes County,07-01-2022,150
Queen Annes County,08-01-2022,155
Queen Annes County,09-01-2022,156
Queen Annes County,10-01-2022,152
Queen Annes County,11-01-2022,152
Queen Annes County,12-01-2022,157
Queen Annes County,01-01-2023,156
Queen Annes County,02-01-2023,156
Queen Annes County,03-01-2023,157
Queen Annes County,04-01-2023,163
Saint Marys County,07-01-2020,174
Saint Marys County,08-01-2020,175
Saint Marys County,09-01-2020,174
Saint Marys County,10-01-2020,174
Saint Marys County,11-01-2020,180
Saint Marys County,12-01-2020,186
Saint Marys County,01-01-2021,193
Saint Marys County,02-01-2021,195
Saint Marys County,03-01-2021,201
Saint Marys County,04-01-2021,209
Saint Marys County,05-01-2021,215
Saint Marys County,06-01-2021,218
Saint Marys County,07-01-2021,232
Saint Marys County,08-01-2021,241
Saint Marys County,09-01-2021,245
Saint Marys County,10-01-2021,253
Saint Marys County,11-01-2021,257
Saint Marys County,12-01-2021,260
Saint Marys County,01-01-2022,265
Saint Marys County,02-01-2022,257
Saint Marys County,03-01-2022,262
Saint Marys County,04-01-2022,264
Saint Marys County,05-01-2022,267
Saint Marys County,06-01-2022,273
Saint Marys County,07-01-2022,276
Saint Marys County,08-01-2022,283
Saint Marys County,09-01-2022,287
Saint Marys County,10-01-2022,296
Saint Marys County,11-01-2022,307
Saint Marys County,12-01-2022,306
Saint Marys County,01-01-2023,310
Saint Marys County,02-01-2023,311
Saint Marys County,03-01-2023,314
Saint Marys County,04-01-2023,315
Somerset County,07-01-2020,7
Somerset County,08-01-2020,8
Somerset County,09-01-2020,8
Somerset County,10-01-2020,8
Somerset County,11-01-2020,8
Somerset County,12-01-2020,8
Somerset County,01-01-2021,9
Somerset County,02-01-2021,10
Somerset County,03-01-2021,10
Somerset County,04-01-2021,10
Somerset County,05-01-2021,9
Somerset County,06-01-2021,11
Somerset County,07-01-2021,10
Somerset County,08-01-2021,12
Somerset County,09-01-2021,12
Somerset County,10-01-2021,12
Somerset County,11-01-2021,12
Somerset County,12-01-2021,12
Somerset County,01-01-2022,11
Somerset County,02-01-2022,16
Somerset County,03-01-2022,18
Somerset County,04-01-2022,20
Somerset County,05-01-2022,20
Somerset County,06-01-2022,20
Somerset County,07-01-2022,20
Somerset County,08-01-2022,20
Somerset County,09-01-2022,20
Somerset County,10-01-2022,19
Somerset County,11-01-2022,19
Somerset County,12-01-2022,19
Somerset County,01-01-2023,19
Somerset County,02-01-2023,19
Somerset County,03-01-2023,19
Somerset County,04-01-2023,19
Talbot County,07-01-2020,85
Talbot County,08-01-2020,87
Talbot County,09-01-2020,88
Talbot County,10-01-2020,87
Talbot County,11-01-2020,87
Talbot County,12-01-2020,86
Talbot County,01-01-2021,92
Talbot County,02-01-2021,94
Talbot County,03-01-2021,97
Talbot County,04-01-2021,103
Talbot County,05-01-2021,104
Talbot County,06-01-2021,109
Talbot County,07-01-2021,110
Talbot County,08-01-2021,114
Talbot County,09-01-2021,113
Talbot County,10-01-2021,115
Talbot County,11-01-2021,116
Talbot County,12-01-2021,115
Talbot County,01-01-2022,116
Talbot County,02-01-2022,115
Talbot County,03-01-2022,113
Talbot County,04-01-2022,118
Talbot County,05-01-2022,121
Talbot County,06-01-2022,119
Talbot County,07-01-2022,121
Talbot County,08-01-2022,124
Talbot County,09-01-2022,129
Talbot County,10-01-2022,132
Talbot County,11-01-2022,138
Talbot County,12-01-2022,141
Talbot County,01-01-2023,138
Talbot County,02-01-2023,143
Talbot County,03-01-2023,151
Talbot County,04-01-2023,150
Washington County,07-01-2020,163
Washington County,08-01-2020,162
Washington County,09-01-2020,164
Washington County,10-01-2020,164
Washington County,11-01-2020,166
Washington County,12-01-2020,167
Washington County,01-01-2021,172
Washington County,02-01-2021,180
Washington County,03-01-2021,189
Washington County,04-01-2021,194
Washington County,05-01-2021,206
Washington County,06-01-2021,214
Washington County,07-01-2021,222
Washington County,08-01-2021,226
Washington County,09-01-2021,226
Washington County,10-01-2021,228
Washington County,11-01-2021,232
Washington County,12-01-2021,235
Washington County,01-01-2022,238
Washington County,02-01-2022,240
Washington County,03-01-2022,245
Washington County,04-01-2022,244
Washington County,05-01-2022,243
Washington County,06-01-2022,250
Washington County,07-01-2022,251
Washington County,08-01-2022,248
Washington County,09-01-2022,255
Washington County,10-01-2022,258
Washington County,11-01-2022,257
Washington County,12-01-2022,261
Washington County,01-01-2023,262
